Breed,Weight,Height,Price,Lifespan,GoodWithKids,Trainability,Intelligence,Adaptability,CatFriendly,DogFriendly,Shedding,Hypoallergenic
"Field Spaniel Mix",55,18,600,12,5,5,5,5,3,5,3,False
"German Shepherd/Alaskan Malamute",85,25,1500,13,4,3,4,4,2,1,5,False
"German Shepherd/Australian Shepherd",78,24,1050,12,5,5,4,5,3,2,4,False
"German Shepherd/Cardigan Welsh Corgi",60,19,1350,12,5,5,5,5,4,2,5,False
"German Shepherd/Catahoula",84,24,1025,12,4,4,4,4,3,2,4,False
"German Shepherd/Collie Rough",75,41,1050,13,5,5,5,4,4,3,5,False
"German Shepherd/Doberman Pinsch",93,20,1250,12,4,5,5,5,3,2,4,False
"German Shepherd/Golden Retriever",75,24,1750,11,5,5,5,5,3,3,4,False
"Irish Setter/Pit Bull",64,23,825,14,3,2,3,5,3,3,2,False
"Jack Russell Terrier/Labrador Retriever",48,19,1000,14,4,5,5,5,2,3,3,False
"Jack Russell Terrier/Pit Bull",41,18,850,15,2,3,4,5,1,1,2,False
"Labrador Retriever/Black/Tan Hound",79,25,1000,13,5,5,5,5,4,5,3,False
"Labrador Retriever/Collie Smooth",77,43,1000,14,5,5,4,4,4,5,4,False
"Labrador Retriever/Dachshund",55,17,800,14,3,3,4,5,3,3,2,False
"Labrador Retriever/Flat Coat Retriever",74,24,1000,11,4,5,5,5,3,4,3,False
"Maltese/Toy Poodle",9,35,1150,15,1,4,4,5,4,4,1,True
"Manchester Terrier/Chihuahua Shorthair",14,26,725,17,2,3,3,5,4,3,2,False
"Manchester Terrier/Dachshund",27,25,625,15,2,2,4,5,3,2,2,False
"Miniature Poodle/Dachshund",21,34,1050,15,2,3,4,5,3,3,1,False
"Parson Russell Terrier",15,38,500,15,3,5,4,5,1,1,3,False
"Pit Bull/Boston Terrier",45,19,750,14,3,2,3,5,3,3,1,False
"Pit Bull/German Shepherd",76,24,1100,12,3,3,4,5,2,1,3,False
"Pit Bull/Plott Hound",60,40,500,14,3,2,3,4,1,2,2,False
"Pointer",75,28,250,15,5,3,4,5,1,5,3,False
"Pointer/Australian Cattle Dog",55,24,425,15,5,4,4,4,2,4,3,False
"Pointer/Border Collie",59,25,475,15,5,4,4,5,2,4,3,False
"Pointer/Pit Bull",70,25,475,14,3,2,3,5,1,3,2,False
"Rat Terrier/Boston Terrier",25,17,650,16,5,4,3,5,4,4,2,False
"Rhod Ridgeback",85,66,1200,12,5,4,5,4,2,2,2,False
"Samoyed Mix",55,56,1500,14,5,3,3,4,3,4,5,True
"Schnauzer Giant Mix",74,26,1000,15,3,4,4,3,2,1,3,True
"Siberian Husky/Border Collie",52,22,850,15,5,3,4,5,2,4,4,False
"Vizsla",63,64,1200,15,3,5,5,5,3,3,2,False
"Weimaraner",77,63,800,12,5,5,5,5,5,5,3,False
"Yorkshire Terrier/Border Terrier",11,12,850,15,3,4,4,5,3,2,2,True
"Yorkshire Terrier/Maltese",8,9,750,15,1,3,3,5,4,3,2,True
"Akita",99,26,1000,15,3,3,4,5,3,3,5,False
"Alaskan Husky",90,24,700,19,3,3,3,5,2,5,3,False
"Alaskan Malamute",83,24,1500,16,4,2,3,3,1,1,5,False
"Anatol Shepherd/Border Collie",82,26,800,15,4,3,4,3,2,2,3,False
"Anatol Shepherd/Redbone Hound",94,49,850,13,4,2,3,3,2,3,2,False
"Australian Cattle Dog/Australian Shepherd",51,21,600,15,5,5,4,4,3,3,3,False
"Beagle/Basset Hound",50,15,650,13,5,2,3,5,4,5,3,False
"Beagle/Rat Terrier",25,17,650,16,5,3,4,5,3,4,3,False
"Bernese Mountain Dog",110,28,1000,8,3,3,3,3,3,3,4,False
"Black/Tan Hound",49,21,600,14,3,3,3,3,3,3,3,False
"Border Collie/Chow Chow",57,22,950,15,3,3,4,3,2,2,4,False
"Border Collie/Pit Bull",54,22,700,15,3,3,4,5,2,2,2,False
"Border Terrier",15,16,1000,15,5,5,4,5,2,2,1,True
"Border Terrier/Yorkshire Terrier",11,12,850,15,3,4,4,5,3,2,2,True
"Boxer/Australian Cattle Dog",47,22,900,13,4,4,4,3,3,2,3,False
"Boxer/Beagle",42,20,1000,13,4,2,4,4,3,3,3,False
"Bullmastiff",129,27,1500,10,3,3,3,3,1,1,3,False
"Canaan Dog Mix",44,23,1000,15,5,3,4,5,2,2,3,False
"Cane Corso",50,25,800,14,3,3,4,4,3,3,3,False
"Cardigan Welsh Corgi/German Shepherd",60,19,1350,12,5,5,5,5,4,2,5,False
"Cardigan Welsh Corgi/Pointer",54,20,725,15,5,4,4,5,3,4,4,False
"Catahoula/German Shepherd",84,24,1025,12,4,4,4,4,3,2,4,False
"Chihuahua Longhair/Cairn Terrier",11,11,900,16,2,3,3,4,4,3,2,False
"Chihuahua Longhair/Dachshund",19,9,700,16,1,2,3,5,4,2,1,False
"Chihuahua Longhair/Maltese",7,10,800,16,1,3,3,5,5,4,1,False
"Chow Chow/Golden Retriever",66,22,1600,14,3,3,4,3,3,3,4,False
"Dachshund/Shih Tzu",24,18,900,15,2,2,3,5,4,3,1,False
"French Bulldog",28,12,2300,12,2,3,3,5,2,2,2,False
"German Shepherd/Chinese Sharpei",70,38,1500,10,3,4,4,4,3,2,3,False
"German Shepherd/Pit Bull",76,24,1100,12,3,3,4,5,2,1,3,False
"German Shorthair Pointer",59,25,600,14,4,5,4,5,1,4,4,False
"German Wirehaired Pointer Mix",70,27,800,14,4,5,5,5,1,5,1,False
"Glen Of Imaal Mix",50,25,800,14,3,3,4,4,3,3,3,False
"Great Pyrenees/Anatol Shepherd",119,31,900,13,3,2,3,3,3,2,4,False
"Greater Swiss Mountain Dog Mix",154,28,700,11,4,4,4,3,3,4,3,False
"Harrier",65,21,400,15,5,3,3,3,2,5,3,False
"Jack Russell Terrier/Rat Terrier",21,16,750,17,4,5,4,5,2,2,3,False
"Labrador Retriever/Greyhound",83,26,975,12,5,4,4,5,3,5,3,False
"Labrador Retriever/Jack Russell Terrier",48,19,1000,14,4,5,5,5,2,3,3,False
"Labrador Retriever/Queensland Heeler",57,22,800,14,5,5,5,4,3,4,3,False
"Labrador Retriever/Staffordshire",57,33,1400,13,4,3,4,4,2,3,3,False
"Labrador Retriever/Standard Poodle",44,42,1250,14,3,5,5,5,4,4,2,False
"Manchester Terrier/Beagle",23,29,725,15,4,2,4,5,3,4,3,False
"Norfolk Terrier/Chihuahua Shorthair",9,10,1650,16,2,4,3,5,4,3,2,False
"Pembroke Welsh Corgi",26,12,600,14,5,5,4,5,5,3,5,False
"Pit Bull/Basset Hound",70,18,600,13,3,2,3,5,3,3,2,False
"Pit Bull/Mastiff",117,29,1100,13,3,2,3,5,3,2,2,False
"Pointer/Boxer",67,26,725,13,4,3,4,4,2,3,3,False
"Pointer/Catahoula",78,25,400,14,4,3,4,4,2,3,3,False
"Presa Canario Mix",50,25,800,14,3,3,4,4,3,3,3,False
"Rat Terrier/Beagle",25,17,650,16,5,3,4,5,3,4,3,False
"Rottweiler/Australian Cattle Dog",82,23,1300,12,3,4,5,3,3,2,3,False
"Rottweiler/Chow Chow",99,24,1600,12,2,2,4,2,2,1,4,False
"Shih Tzu/Miniature Schnauzer",18,21,1100,15,2,4,4,5,4,4,1,True
"Siberian Husky/Australian Cattle Dog",47,21,800,15,5,3,4,4,2,4,4,False
"Skye Terrier Mix",39,25,950,15,3,2,3,5,2,2,3,False
"Standard Poodle",10,60,1500,15,2,5,5,5,4,4,1,True
"Weimaraner/Labrador Retriever",78,44,900,12,5,5,5,5,4,5,3,False
"Wire Hair Fox Terrier/Beagle",23,16,800,14,5,2,3,5,2,3,3,False
"Wire Hair Fox Terrier/Chihuahua Shorthair",13,13,800,16,3,3,3,5,3,2,2,False
"Wirehaired Pointing Griffon Mix",59,55,700,12,4,4,4,3,3,4,3,True
"American Bulldog/Labrador Retriever",99,48,950,13,4,4,4,4,3,4,3,False
"American Staffordshire Terrier/American Bulldog",104,44,900,13,2,2,3,4,2,2,2,False
"American Staffordshire Terrier/Labrador Retriever",83,21,950,12,3,3,4,5,2,3,2,False
"Anatol Shepherd/German Shepherd",104,28,1200,12,4,3,4,3,2,1,4,False
"Australian Cattle Dog/Boxer",47,22,900,13,4,4,4,3,3,2,3,False
"Australian Cattle Dog/Cardigan Welsh Corgi",34,16,900,15,5,5,5,4,4,3,4,False
"Australian Cattle Dog/Chinese Sharpei",43,35,1050,13,3,4,4,3,3,2,2,False
"Australian Cattle Dog/Chow Chow",52,21,900,15,3,3,4,2,2,2,4,False
"Australian Cattle Dog/Plott Hound",45,39,450,14,4,4,4,3,2,3,3,False
"Australian Cattle Dog/Staffordshire",35,30,1200,14,4,3,4,3,2,2,3,False
"Australian Kelpie/Blue Lacy",45,20,775,14,3,4,3,4,3,3,3,False
"Australian Kelpie/Labrador Retriever",62,22,800,13,4,5,4,5,3,4,3,False
"Australian Kelpie/Pit Bull",55,21,650,14,2,3,3,5,2,2,2,False
"Australian Shepherd/Chow Chow",69,22,900,15,3,3,3,3,2,2,4,False
"Australian Shepherd/Cocker Spaniel",49,19,700,15,5,4,4,5,3,4,3,False
"Basenji/Australian Cattle Dog",30,18,900,15,3,3,5,3,2,2,2,False
"Basset Hound/Beagle",50,15,650,13,5,2,3,5,4,5,3,False
"Beagle/Jack Russell Terrier",21,15,900,15,4,3,4,5,2,3,3,False
"Bearded Collie Mix",59,21,1500,15,4,5,3,5,4,4,4,False
"Bedlington Terr Mix",50,25,800,14,3,3,4,4,3,3,3,False
"Belgian Malinois",50,25,800,14,3,3,4,4,3,3,3,False
"Black Mouth Cur/Australian Cattle Dog",65,22,475,15,4,4,4,3,3,3,3,False
"Black Mouth Cur/Boxer",77,24,775,14,3,3,3,3,3,2,3,False
"Black Mouth Cur/German Shepherd",91,25,925,13,4,4,4,4,3,2,4,False
"Blue Lacy/Australian Kelpie",45,20,775,14,3,4,3,4,3,3,3,False
"Blue Lacy/Pit Bull",55,21,825,14,2,2,3,4,2,2,2,False
"Border Collie/Australian Shepherd",56,22,650,15,5,5,4,5,3,3,3,False
"Border Collie/Boxer",51,23,950,14,4,4,4,4,3,2,3,False
"Boxer/American Bulldog",89,47,1050,13,3,3,3,3,3,2,3,False
"Boxer/American Staffordshire Terrier",73,21,1050,12,2,2,3,4,2,1,2,False
"Boxer/Black Mouth Cur",77,24,775,14,3,3,3,3,3,2,3,False
"Boxer/Great Dane",94,28,1200,12,3,3,3,3,3,2,3,False
"Boykin Span Mix",50,25,800,14,3,3,4,4,3,3,3,False
"Brittany",50,25,800,14,3,3,4,4,3,3,3,False
"Bull Terrier Miniature Mix",50,25,800,14,3,3,4,4,3,3,3,False
"Cairn Terrier/Dachshund",24,11,800,15,3,2,4,4,3,2,2,False
"Cardigan Welsh Corgi",33,13,1200,15,5,5,5,5,5,3,5,False
"Cardigan Welsh Corgi/Cocker Spaniel",31,14,1000,15,5,4,4,5,4,4,4,False
"Carolina Dog",65,24,950,15,3,3,3,3,3,3,3,False
"Catahoula/Boxer",70,23,875,13,3,3,4,3,3,2,3,False
"Catahoula/Cardigan Welsh Corgi",57,18,875,14,4,4,4,4,4,2,4,False
"Catahoula/Chinese Sharpei",66,37,1025,12,2,3,4,3,3,2,2,False
"Catahoula/Great Dane",105,27,875,13,3,3,3,3,3,2,3,False
"Catahoula/Plott Hound",68,40,425,14,3,3,4,3,2,2,3,False
"Cavalier Span",18,13,1500,14,3,4,4,5,3,5,3,False
"Chihuahua Longhair/Pekingese",10,9,700,16,1,2,3,5,5,3,2,False
"Chihuahua Longhair/Pomeranian",6,11,800,17,1,3,3,5,5,3,1,False
"Chihuahua Shorthair/Basset Hound",40,12,650,15,3,3,3,5,5,4,2,False
"Chihuahua Shorthair/German Shepherd",47,18,1150,14,3,4,4,5,4,2,3,False
"Chihuahua Shorthair/Pembroke Welsh Corgi",16,11,700,16,3,4,3,5,5,3,3,False
"Chihuahua Shorthair/Smooth Fox Terrier",11,12,750,16,3,3,4,5,3,2,2,False
"Chihuahua Shorthair/Wire Hair Fox Terrier",13,13,800,16,3,3,3,5,3,2,2,False
"Chow Chow/Basset Hound",72,18,850,13,3,2,3,3,3,3,4,False
"Collie Smooth",75,61,1000,15,5,5,4,4,5,5,5,False
"Dachshund Wirehair",32,9,600,15,2,2,4,5,3,2,1,False
"Dachshund Wirehair/Toy Poodle",21,34,1050,15,2,3,4,5,3,3,1,False
"Dachshund/Australian Cattle Dog",33,14,600,15,3,3,4,4,3,2,2,False
"Dachshund/Bloodhound",65,17,900,13,3,2,4,4,4,3,3,False
"Dachshund/Chihuahua Longhair",19,9,700,16,1,2,3,5,4,2,1,False
"Doberman Pinsch/Labrador Retriever",89,19,1000,13,4,5,5,5,3,3,3,False
"English Cocker Spaniel Mix",34,17,1500,15,5,5,3,5,4,5,4,False
"English Springer Spaniel",48,20,700,14,3,3,4,5,3,5,3,False
"Flat Coat Retriever/Pit Bull",67,22,850,12,3,3,4,5,2,2,2,False
"German Pinscher Mix",35,20,1600,14,3,4,4,3,3,3,3,False
"German Shepherd/Black/Tan Hound",88,26,1500,10,5,5,5,5,3,2,5,False
"Golden Retriever/Border Collie",53,22,1350,14,5,5,5,5,3,4,3,False
"Golden Retriever/Standard Poodle",36,41,1750,14,3,5,5,5,4,4,2,False
"Great Pyrenees/Australian Cattle Dog",76,26,750,13,4,3,4,3,3,3,4,False
"Great Pyrenees/Catahoula",99,27,725,13,3,2,4,3,3,2,4,False
"Irish Wolfhound Mix",121,90,2000,8,4,3,3,4,3,5,2,False
"Jack Russell Terrier/Miniature Poodle",13,37,1250,15,2,5,5,5,2,2,2,False
"Jack Russell Terrier/Shih Tzu",16,21,1100,15,2,4,4,5,3,3,2,False
"Japanese Chin Mix",9,11,1000,14,2,3,3,5,5,3,3,True
"Jindo Mix",50,25,800,14,3,3,4,4,3,3,3,False
"Labrador Retriever/Black Mouth Cur",87,25,675,14,4,4,4,4,3,4,3,False
"Labrador Retriever/Dalmatian",71,24,900,13,5,5,5,5,3,5,4,False
"Labrador Retriever/Miniature Poodle",44,42,1250,14,3,5,5,5,4,4,2,False
"Labrador Retriever/Redbone Hound",73,46,900,12,5,4,4,5,3,5,2,False
"Labrador Retriever/Standard Schnauzer",61,37,1250,13,4,5,4,4,4,4,2,False
"Labrador Retriever/Vizsla",71,44,1100,14,4,5,5,5,3,4,2,False
"Lhasa Apso/Shih Tzu",15,28,900,14,3,3,3,5,5,5,2,False
"Maltese/Yorkshire Terrier",8,9,750,15,1,3,3,5,4,3,2,True
"Manchester Terrier/Jack Russell Terrier",19,28,825,16,3,4,4,5,2,2,3,False
"Mastiff/Rottweiler",149,31,1750,11,3,3,4,4,4,2,3,False
"Miniature Poodle/Labrador Retriever",44,42,1250,14,3,5,5,5,4,4,2,False
"Miniature Poodle/Lhasa Apso",12,44,1050,14,3,4,4,5,4,4,2,False
"Miniature Schnauzer/Chihuahua Shorthair",13,12,900,16,2,4,4,5,4,3,1,False
"Newfoundland/Labrador Retriever",116,49,1500,11,5,4,4,4,4,4,4,False
"Norfolk Terrier/Yorkshire Terrier",10,9,1600,15,2,4,4,5,4,3,3,True
"Nova Scotia Duck Tolling Retriever Mix",50,25,800,14,3,3,4,4,3,3,3,False
"Old English Bulldog Mix",50,25,800,14,3,3,4,4,3,3,3,False
"Otterhound Mix",111,69,600,13,4,2,3,3,3,3,5,False
"Papillon",10,11,500,15,5,3,5,5,1,2,1,False
"Picardy Sheepdog Mix",50,25,800,14,3,3,4,4,3,3,3,False
"Plott Hound/Pit Bull",60,40,500,14,3,2,3,4,1,2,2,False
"Pointer/American Pit Bull Terrier",70,25,475,14,3,2,3,5,1,3,2,False
"Pug/Labrador Retriever",48,26,700,14,4,4,4,5,4,5,3,False
"Queensland Heeler",35,20,600,15,5,5,5,3,3,3,3,False
"Queensland Heeler/Pit Bull",50,21,650,14,3,3,4,4,2,2,2,False
"Rat Terrier/Cardigan Welsh Corgi",29,15,850,16,5,5,4,5,4,3,4,False
"Rat Terrier/Miniature Poodle",17,39,1000,16,3,5,4,5,4,4,2,False
"Redbone Hound/Labrador Retriever",73,46,900,12,5,4,4,5,3,5,2,False
"Saluki Mix",60,28,800,14,3,2,3,5,2,3,2,False
"Schipperke/Chihuahua Shorthair",12,20,800,16,2,3,3,5,4,3,1,False
"Shih Tzu/Havanese",14,19,1150,15,3,4,4,5,5,5,1,True
"Siberian Husky/Pit Bull",62,22,850,14,3,1,3,5,1,3,3,False
"Soft Coated Wheaten Terrier",39,48,900,15,4,4,4,5,3,4,2,True
"Standard Schnauzer",44,50,1500,14,4,5,3,3,4,4,2,True
"Whippet/Dachshund",31,32,900,15,2,2,3,4,2,2,1,False
"Whippet/Labrador Retriever",54,40,1100,14,4,4,4,4,2,4,2,False
"Great Pyrenees/Golden Retriever",90,27,1450,12,4,3,4,4,4,4,4,False
"Vizsla/Labrador Retriever",71,44,1100,14,4,5,5,5,3,4,2,False
"Akita/German Shepherd",93,26,1250,12,4,4,4,5,3,2,5,False
"Akita/Siberian Husky",79,24,1000,15,4,2,4,5,2,4,5,False
"Alaskan Husky/Australian Shepherd",79,23,650,17,4,4,3,5,2,4,3,False
"Alaskan Malamute/Border Collie",63,23,1100,16,4,3,4,4,2,2,4,False
"Alaskan Malamute/German Shepherd",85,25,1500,13,4,3,4,4,2,1,5,False
"American Bulldog/Mastiff",144,53,1200,13,4,3,3,4,4,3,3,False
"American Bulldog/Pointer",97,49,575,14,4,3,3,4,2,4,3,False
"American Eskimo",10,30,750,15,2,5,4,5,3,4,5,False
"American Eskimo/Border Collie",27,26,725,15,3,5,4,5,3,3,4,False
"American Pit Bull Terrier/Boxer",62,23,950,13,2,2,3,4,2,1,2,False
"American Pit Bull Terrier/Catahoula",73,22,625,14,2,2,3,4,2,1,2,False
"American Pit Bull Terrier/Labrador Retriever",72,23,850,13,3,3,4,5,2,3,2,False
"Anatol Shepherd/Australian Cattle Dog",78,25,750,15,4,3,4,2,2,2,3,False
"Anatol Shepherd/Catahoula",101,27,725,14,3,2,3,2,2,1,3,False
"Australian Cattle Dog/Akita",67,23,800,15,4,4,4,4,3,3,4,False
"Australian Cattle Dog/Alaskan Husky",62,22,650,17,4,4,4,4,2,4,3,False
"Australian Cattle Dog/Anatol Shepherd",78,25,750,15,4,3,4,2,2,2,3,False
"Australian Cattle Dog/Basenji",30,18,900,15,3,3,5,3,2,2,2,False
"Australian Cattle Dog/Bloodhound",67,22,900,13,5,4,4,3,4,4,4,False
"Australian Cattle Dog/Bull Terrier",60,37,1050,14,4,3,4,3,2,2,3,False
"Australian Cattle Dog/Dachshund",33,14,600,15,3,3,4,4,3,2,2,False
"Australian Cattle Dog/German Shorthair Pointer",47,22,600,14,4,5,4,4,2,3,3,False
"Australian Cattle Dog/Great Pyrenees",76,26,750,13,4,3,4,3,3,3,4,False
"Australian Cattle Dog/Pembroke Welsh Corgi",30,16,600,14,5,5,4,4,4,3,4,False
"Australian Kelpie/Australian Shepherd",57,21,600,14,4,5,4,5,3,3,3,False
"Australian Shepherd/Boxer",63,23,900,13,4,4,4,4,3,2,3,False
"Australian Shepherd/Plott Hound",61,40,450,14,4,4,4,4,2,3,3,False
"Australian Shepherd/Rottweiler",98,25,1300,12,3,4,4,4,3,2,3,False
"Basenji/Chihuahua Longhair",16,13,1000,17,1,2,4,4,3,2,1,False
"Basenji/Chihuahua Shorthair",16,13,1000,17,1,2,4,4,3,2,1,False
"Basenji/Chow Chow",48,19,1200,15,2,2,4,2,2,1,3,False
"Beagle/Australian Cattle Dog",30,18,700,15,5,3,4,4,3,4,3,False
"Beagle/Cocker Spaniel",27,16,800,15,5,2,4,5,3,5,3,False
"Beagle/Pit Bull",45,19,750,14,3,2,3,5,2,3,2,False
"Beagle/Pointer",50,22,525,15,5,2,4,5,2,5,3,False
"Beagle/Standard Poodle",17,38,1150,15,3,3,4,5,3,4,2,False
"Beauceron",100,28,1500,13,3,5,5,3,2,2,3,False
"Belgian Sheepdog Mix",50,25,800,14,3,3,4,4,3,3,3,False
"Belgian Tervuren Mix",50,25,800,14,3,3,4,4,3,3,3,False
"Black Mouth Cur/Blue Lacy",70,23,650,15,3,3,3,3,3,3,3,False
"Black Mouth Cur/Dachshund",63,17,475,15,2,2,3,4,3,2,2,False
"Black Mouth Cur/Labrador Retriever",87,25,675,14,4,4,4,4,3,4,3,False
"Black/Tan Hound/Black Mouth Cur",49,21,600,14,3,3,3,3,3,3,3,False
"Border Collie/Akita",71,24,850,15,4,4,4,5,3,3,4,False
"Border Collie/Basenji",35,19,950,16,3,3,5,4,2,2,2,False
"Border Collie/Beagle",34,19,750,15,5,3,4,5,3,4,3,False
"Border Collie/Catahoula",62,22,625,15,4,4,4,4,3,2,3,False
"Border Collie/Dachshund",38,15,650,15,3,3,4,5,3,2,2,False
"Border Collie/Parson Russell Terrier",29,30,600,15,4,5,4,5,2,2,3,False
"Border Collie/Pointer",59,25,475,15,5,4,4,5,2,4,3,False
"Boston Terrier/Dachshund",28,13,700,15,3,2,3,5,4,3,1,False
"Boston Terrier/Miniature Schnauzer",22,15,900,15,4,4,4,5,4,4,1,False
"Boston Terrier/Pug",21,22,600,15,4,3,3,5,5,5,2,False
"Boxer/Chinese Sharpei",55,37,1350,11,2,3,4,3,3,2,2,False
"Boxer/English Bulldog",69,42,1850,13,3,3,3,3,3,2,3,False
"Boxer/Miniature Poodle",34,42,1350,13,2,4,4,4,3,3,2,False
"Boxer/Pointer",67,26,725,13,4,3,4,4,2,3,3,False
"Boxer/Rhod Ridgeback",72,45,1200,12,4,3,4,4,2,2,2,False
"Brittany/Labrador Retriever",79,25,1000,13,5,5,5,5,4,5,3,False
"Bruss Griffon/Chihuahua Shorthair",8,15,800,16,1,2,4,4,5,3,1,False
"Bull Terrier Miniature",50,25,800,14,3,3,4,4,3,3,3,False
"Cairn Terrier/Border Collie",30,17,850,15,4,4,4,4,3,3,3,False
"Cairn Terrier/Chihuahua Longhair",11,11,900,16,2,3,3,4,4,3,2,False
"Cairn Terrier/Miniature Schnauzer",18,13,1000,15,3,4,4,4,3,3,2,True
"Canaan Dog/Pit Bull",54,22,850,14,3,2,3,5,1,1,2,False
"Cardigan Welsh Corgi/Australian Shepherd",50,18,900,15,5,5,4,5,4,3,4,False
"Cardigan Welsh Corgi/Beagle",29,14,1000,15,5,3,4,5,4,4,4,False
"Carolina Dog/Australian Cattle Dog",50,22,775,15,4,4,4,3,3,3,3,False
"Carolina Dog/Labrador Retriever",72,24,975,14,4,4,4,4,3,4,3,False
"Catahoula/Alaskan Husky",85,23,625,16,3,3,3,4,2,3,3,False
"Catahoula/Anatol Shepherd",101,27,725,14,3,2,3,2,2,1,3,False
"Catahoula/Beagle",53,19,675,14,4,2,4,4,3,3,3,False
"Chihuahua Longhair/Cardigan Welsh Corgi",19,11,1000,16,3,4,4,5,5,3,3,False
"Chihuahua Longhair/Papillon",8,10,650,16,3,3,4,5,3,2,1,False
"Chihuahua Shorthair/Australian Cattle Dog",20,15,700,16,3,4,4,4,4,3,2,False
"Chihuahua Shorthair/Chinese Sharpei",29,30,1150,14,1,3,3,4,4,2,1,False
"Chihuahua Shorthair/Schipperke",12,20,800,16,2,3,3,5,4,3,1,False
"Chihuahua Shorthair/Toy Fox Terrier",7,19,800,16,2,4,4,5,5,3,2,False
"Chihuahua Shorthair/Welsh Terrier",14,23,800,16,2,3,3,5,3,2,1,False
"Chinese Sharpei/Border Collie",48,36,1100,13,3,4,4,4,3,2,2,False
"Chow Chow/Chinese Sharpei",61,36,1350,13,1,2,3,2,2,1,3,False
"Cocker Spaniel/Chihuahua Shorthair",18,13,800,16,3,3,3,5,4,4,2,False
"Cocker Spaniel/Dachshund",31,12,700,15,3,2,4,5,3,3,2,False
"Collie Rough",63,56,600,16,5,5,5,4,5,5,5,False
"Collie Rough/Australian Shepherd",65,39,600,15,5,5,4,4,4,4,4,False
"Collie Rough/Labrador Retriever",71,40,800,14,5,5,5,4,4,5,4,False
"Collie Smooth/German Shepherd",81,43,1250,12,5,5,4,4,4,3,5,False
"Dachshund Longhair/Cardigan Welsh Corgi",32,11,900,15,3,3,4,5,4,2,3,False
"Dachshund Longhair/Chihuahua Longhair",19,9,700,16,1,2,3,5,4,2,1,False
"Dachshund Longhair/Cocker Spaniel",31,12,700,15,3,2,4,5,3,3,2,False
"Dachshund Longhair/Miniature Schnauzer",26,11,800,15,2,3,4,5,3,2,1,False
"Dachshund Wirehair/Chihuahua Longhair",19,9,700,16,1,2,3,5,4,2,1,False
"Dachshund Wirehair/Miniature Schnauzer",26,11,800,15,2,3,4,5,3,2,1,False
"Dachshund/Basset Hound",53,12,550,13,3,2,3,5,4,3,2,False
"Dachshund/Bull Terrier",58,32,1050,14,2,2,4,4,2,2,2,False
"Dachshund/Cardigan Welsh Corgi",32,11,900,15,3,3,4,5,4,2,3,False
"Dachshund/Catahoula",56,16,575,14,2,2,4,4,3,2,2,False
"Dachshund/English Foxhound",53,17,775,14,3,3,3,4,2,3,2,False
"Dachshund/Harrier",48,15,500,15,3,2,3,4,2,3,2,False
"Dachshund/Jack Russell Terrier",24,11,800,15,2,3,4,5,2,1,2,False
"Dachshund/Miniature Pinscher",21,18,600,15,2,3,4,4,3,2,1,False
"Dachshund/Miniature Poodle",21,34,1050,15,2,3,4,5,3,3,1,False
"Dachshund/Parson Russell Terrier",23,23,550,15,2,3,4,5,2,1,2,False
"Dachshund/Pug",24,18,500,15,3,2,4,5,4,3,2,False
"Dachshund/Whippet",31,32,900,15,2,2,3,4,2,2,1,False
"Dachshund/Yorkshire Terrier",20,9,650,15,1,2,4,5,3,2,2,False
"Dalmatian/Labrador Retriever",71,24,900,13,5,5,5,5,3,5,4,False
"Doberman Pinsch/Australian Cattle Dog",67,17,800,14,4,5,5,4,3,2,3,False
"Doberman Pinsch/German Shepherd",93,20,1250,12,4,5,5,5,3,2,4,False
"Doberman Pinsch/Pit Bull",82,18,850,14,3,3,4,5,2,1,2,False
"Dogo Argentino",50,25,800,14,3,3,4,4,3,3,3,False
"Dogo Argentino/Labrador Retriever",79,25,1000,13,5,5,5,5,4,5,3,False
"Dutch Shepherd",50,25,800,14,3,3,4,4,3,3,3,False
"English Foxhound",75,25,950,13,5,4,3,4,2,5,3,False
"English Setter Mix",70,26,400,12,5,3,3,3,4,4,3,False
"English Shepherd Mix",61,23,950,14,3,3,3,3,3,3,3,False
"Finnish Spitz",28,20,700,14,4,3,4,3,4,3,4,False
"Flat Coat Retriever/German Shepherd",79,24,1250,10,4,5,5,5,3,3,4,False
"French Bulldog/Chihuahua Shorthair",17,11,1550,15,1,3,3,5,3,2,1,False
"German Shepherd/Akita",93,26,1250,12,4,4,4,5,3,2,5,False
"German Shepherd/Anatol Shepherd",104,28,1200,12,4,3,4,3,2,1,4,False
"German Shepherd/Collie Smooth",81,43,1250,12,5,5,4,4,4,3,5,False
"German Shepherd/Great Dane",108,29,1350,11,4,4,4,4,3,2,4,False
"German Shepherd/Great Pyrenees",103,29,1200,11,4,3,4,4,3,2,5,False
"German Shepherd/Pembroke Welsh Corgi",57,19,1050,12,5,5,4,5,4,2,5,False
"German Wirehaired Pointer",70,27,800,14,4,5,5,5,1,5,1,False
"Golden Retriever/Beagle",44,19,1400,14,5,3,4,5,3,5,3,False
"Golden Retriever/Dachshund",47,16,1300,14,3,3,4,5,3,3,2,False
"Golden Retriever/German Shepherd",75,24,1750,11,5,5,5,5,3,3,4,False
"Great Dane/Mastiff",149,34,1350,12,4,3,3,4,4,3,3,False
"Great Dane/Pit Bull",97,27,950,13,2,2,3,4,2,2,2,False
"Great Pyrenees/Australian Shepherd",93,27,750,13,4,3,4,4,3,3,4,False
"Great Pyrenees/Pit Bull",91,27,800,13,3,2,3,4,2,2,3,False
